Royalty (Oil) ,Initial Templates ,,,Adjustments,,Adjusted Figures,,
,Govt. ,Company,Difference,Govt.,Company,Govt.,Company,Unresolved Difference
,US$'000,US$'000,US$'000,US$'000,US$'000,US$'000,US$'000,US$'000
2009,2503528,2739831,-236302,74831,-161822,2578359,2578009,351
2010,3957961,4187665,-229704,-104126,-313568,3853835,3874097,-20262
2011,5866847,6437572,-570725,174549,-356291,6041396,6081281,-39885
Total,12328336,13365068,-1036732,145254,-831681,12473590,12533387,-59796
